loId,w
4527987,1.0
4527999,0.13840123811482066
4604389,0.6566329042478559
4636638,0.6911183167128631
4644770,0.25304802312198504
4527966,0.9022323389806555
4527968,0.37629701503582313
4527981,0.9883322024283678
4527986,0.4769641692446636
4527988,0.44890802952478503
4527992,0.6566329042478559
4528005,0.0
4528012,0.5179617248162898
4528013,0.7853937981121315
4589419,0.9983592281457426
4604398,0.017717282846816073
4617667,0.017717282846816073
4619646,0.03531692918652741
4625626,0.017717282846816073
4625677,0.08740241012885532
4630203,0.10452382134390908
4649820,0.13840123811482066
4527998,0.26891630319719295
